Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
offre caldea + hotel,1,1,170,16,0.00,https://www.caldea.com/fr/offre-hotel-andorre,136,0.35,0.00,0,540000,"[100,100,100,100,80,65,80,53,26,26,42,65]",2025-11-28,"Video, Image, Ads bottom, Related searches",informational,Organic
andorre balneo,1,1,170,32,0.24,https://www.caldea.com/fr/,136,0.35,32.00,0.43,5800,"[66,53,35,28,28,28,23,35,53,35,53,35]",2026-01-31,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
andorre caldea tarif,1,1,170,25,0.12,https://www.caldea.com/fr/entrees,136,0.35,16.00,0.28,8510,"[0,0,0,0,0,0,0,67,36,29,19,67]",2025-12-21,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
thermes en andorre,1,1,170,16,0.27,https://www.caldea.com/fr/,136,0.35,36.00,0.29,835000,"[53,81,81,81,81,43,43,53,34,34,65,53]",2025-11-28,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
balnéothérapie andorre,1,1,170,26,0.24,https://www.caldea.com/fr/,136,0.35,32.00,0.43,39100,"[100,100,42,53,53,42,34,42,65,65,80,80]",2026-01-25,"Knowledge panel, Video, Image, Ads bottom, People also ask, Related searches",commercial,Organic
thalasso andorre,1,1,480,16,0.23,https://www.caldea.com/fr/,119,0.31,27.00,0.7,357000,"[72,48,59,48,32,26,26,39,48,59,72,59]",2026-01-22,"Video, Image, Ads bottom, Hotels Pack, People also ask, Related searches",commercial,Organic
hotel caldea andorre,1,1,140,22,0.39,https://www.caldea.com/fr/offre-hotel-andorre,112,0.29,43.00,0.78,213000,"[53,66,53,43,28,17,17,10,28,28,28,53]",2025-12-26,"Knowledge panel, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches","informational, transactional",Organic
balnéo andorre,1,1,140,40,0.24,https://www.caldea.com/fr/,112,0.29,26.00,0.43,272000,"[81,81,65,34,34,34,28,21,21,28,65,43]",2026-01-31,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
caldea parc de la mola les escaldes andorre,1,1,140,20,0.00,https://www.caldea.com/fr/,112,0.29,0.00,0.22,5360,"[35,44,35,23,28,15,11,11,11,11,15,18]",2025-12-20,"Knowledge panel, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches",navigational,Organic
therme andorre,1,1,140,21,0.33,https://www.caldea.com/fr/classic,112,0.29,36.00,0.37,10900,"[64,100,100,100,64,100,64,52,52,52,64,82]",2025-12-10,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches","informational, transactional",Organic
balneo andorre,1,1,140,29,0.24,https://www.caldea.com/fr/,112,0.29,26.00,0.43,5570,"[65,65,100,42,42,34,26,53,80,80,65,65]",2026-01-10,"Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
caldéa,1,1,140,24,0.35,https://www.caldea.com/fr/,112,0.29,39.00,0.37,2810,"[13,8,13,8,6,4,5,8,8,8,10,10]",2026-01-25,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",navigational,Organic
centro termoludico andorra,4,4,4400,15,0.25,https://www.caldea.com/fr/eaux-thermales,105,0.27,26.00,0.4,16200,"[12,16,10,36,24,0,0,1,29,44,100,66]",2026-01-28,"Knowledge panel, Video, Image, People also ask, Related searches","informational, transactional",Organic
caldea,2,2,9900,29,0.25,https://www.caldea.com/,99,0.25,24.00,0.29,1030000,"[81,81,66,54,44,36,29,54,54,44,54,54]",2026-02-01,"Knowledge panel, Sitelinks, Video, Image, Ads top, Ads bottom, People also ask, Related searches, Short videos",navigational,Organic
centro termoludico andorra,3,3,4400,15,0.25,https://www.caldea.com/en/classic,96,0.25,24.00,0.4,16200,"[12,16,10,36,24,0,0,1,29,44,100,66]",2026-01-28,"Knowledge panel, Video, Image, People also ask, Related searches","informational, transactional",People also ask
caldea andorre prix,1,1,110,20,0.19,https://www.caldea.com/fr/entrees,88,0.23,16.00,0.28,16500,"[28,18,28,35,18,6,11,6,11,11,11,15]",2026-01-04,"Video, Ads bottom, People also ask, Related searches","navigational, transactional",Organic
offre caldea hotel,1,1,110,17,0.33,https://www.caldea.com/fr/offre-hotel-andorre,88,0.23,29.00,0.88,625000,"[80,42,66,80,52,33,33,42,52,52,66,19]",2026-01-24,"Image, Related searches","informational, transactional",Organic
spa andorra caldea,1,1,110,39,0.20,https://www.caldea.com/fr/,88,0.23,17.00,0.36,322000,"[0,100,0,0,0,0,0,0,0,0,0,0]",2025-12-20,"Knowledge panel, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches, Short videos","navigational, transactional",Organic
caldea inuu,1,1,110,20,0.33,https://www.caldea.com/fr/entrees-premium,88,0.23,29.00,0.19,12300,"[43,53,35,35,23,23,12,12,23,23,28,35]",2025-12-25,"Knowledge panel, Video, People also ask, Related searches","informational, transactional",Organic
la caldea,1,1,110,32,0.34,https://www.caldea.com/fr/,88,0.23,29.00,0.37,1060000,"[52,42,52,42,33,42,23,52,100,66,42,33]",2026-01-17,"Knowledge panel, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches","navigational, transactional",Organic
caldea andorre nuit,1,1,110,24,0.33,https://www.caldea.com/fr/classic/entree-nocturne-spa,88,0.23,29.00,0.12,11600,"[53,53,53,34,21,28,15,28,34,53,43,53]",2025-12-28,"Sitelinks, Video, Ads bottom, Related searches",transactional,Organic
hotel et caldea andorre,1,1,110,21,0.41,https://www.caldea.com/fr/offre-hotel-andorre,88,0.23,36.00,0.78,59900,"[65,65,34,21,21,21,12,28,28,34,43,65]",2026-02-05,"Knowledge panel, Video, Image, People also ask, Related searches",informational,Organic
thalasso andorre caldea,1,1,110,29,0.39,https://www.caldea.com/fr/,88,0.23,34.00,0.52,1870,"[80,65,34,53,34,26,26,26,53,42,65,11]",2026-01-06,"Knowledge panel, Sitelinks, Image, Video Carousel, People also ask, Related searches",navigational,Organic
andorre thalasso,1,1,320,18,0.36,https://www.caldea.com/fr/,79,0.2,28.00,0.57,253000,"[54,81,54,81,54,44,44,36,5,3,10,10]",2025-12-15,"Knowledge panel, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches",commercial,Organic
thalasso à andorre,1,1,320,15,0.23,https://www.caldea.com/fr/,79,0.2,18.00,0.7,4050000,"[45,36,24,24,20,16,13,6,16,16,36,16]",2026-01-18,"Video, Image, Hotels Pack, People also ask, Related searches",commercial,Organic
centro termoludico andorra,3,3,4400,15,0.25,https://www.caldea.com/fr/faq-caldea,77,0.2,19.00,0.4,16200,"[12,16,10,36,24,0,0,1,29,44,100,66]",2026-01-28,"Knowledge panel, Video, Image, People also ask, Related searches","informational, transactional",People also ask
thalasso andorre caldea tarif,1,1,90,20,0.26,https://www.caldea.com/fr/entrees,72,0.18,18.00,0.56,756,"[52,100,66,80,42,23,23,19,19,9,19,23]",2025-11-29,"Sitelinks, Video, Image, People also ask, Related searches",transactional,Organic
thermalisme andorre,1,1,90,18,0.25,https://www.caldea.com/fr/,72,0.18,18.00,0.31,11700000,"[100,41,52,52,52,5,41,64,41,64,52,64]",2026-01-13,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",navigational,Organic
andorre caliceo,1,1,90,27,0.23,https://www.caldea.com/fr/,72,0.18,16.00,0.33,1430,"[11,64,41,23,23,23,41,41,64,82,100,64]",2026-02-03,"Knowledge panel, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches",navigational,Organic
andorra caldea,1,1,90,,0.20,https://www.caldea.com/fr/,72,0.18,14.00,0.36,610000,"[2,1,0,0,0,0,0,0,1,0,100,1]",2025-12-11,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches","navigational, transactional",Organic
andorra caldea balneario,10,10,1900,31,0.25,http://www.caldea.com/,66,0.17,16.00,0.4,28600,"[35,44,29,100,66,81,100,0,0,0,0,0]",2026-01-09,"Knowledge panel, Video, Image, Ads bottom, Related searches",informational,Knowledge panel
spa andorre la vieille,1,1,260,20,0.40,http://www.caldea.com/,64,0.16,25.00,0.42,251000,"[29,29,29,44,36,29,29,23,15,19,23,36]",2025-11-29,"Local pack, Sitelinks, Video, Image, Ads bottom, Video Carousel, People also ask, Related searches",commercial,Local pack
thalasso en andorre,1,1,260,18,0.23,https://www.caldea.com/fr/,64,0.16,14.00,0.7,2200000,"[72,39,21,17,17,21,17,9,21,26,39,21]",2026-01-31,"Local pack, Image pack, Video, Image, Ads bottom, People also ask, Related searches",commercial,Organic
andorre caldea,2,2,2400,26,0.25,https://www.caldea.com/fr/,62,0.16,15.00,0.4,262000,"[24,100,29,13,29,24,24,7,13,13,29,7]",2026-01-31,"Knowledge panel, Video, Image, Ads bottom, People also ask, Related searches, Short videos","informational, transactional",Organic
caldea spa,2,2,2400,39,0.25,https://www.caldea.com/,62,0.16,15.00,0.4,526000,"[5,4,81,100,65,65,36,13,100,29,43,81]",2026-01-17,"Knowledge panel, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches","navigational, transactional",Organic
la caldea andorre,1,1,70,31,0.26,https://www.caldea.com/fr/classic,56,0.14,14.00,0.36,260000,"[52,41,29,29,29,11,11,11,64,52,100,100]",2026-01-28,"Knowledge panel, Video, Image, People also ask, Related searches, Short videos","informational, transactional",Organic
caliceo andorre,1,1,70,30,0.21,https://www.caldea.com/fr/,56,0.14,11.00,0.47,484,"[26,17,21,0,7,0,0,0,0,11,7,7]",2025-12-23,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches","informational, transactional",Organic
caldea entradas,1,1,70,36,0.32,https://www.caldea.com/entradas,56,0.14,17.00,0.38,553000,"[64,100,64,29,29,11,5,29,64,11,11,11]",2026-01-28,"Knowledge panel, People also ask, Related searches","navigational, transactional",Organic
spa andorre caldea,1,1,70,35,0.25,https://www.caldea.com/fr/,56,0.14,14.00,0.4,215000,"[0,0,5,4,0,0,4,0,4,0,0,1]",2026-01-14,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
piscine andorre,1,1,210,17,0.40,http://www.caldea.com/,52,0.13,20.00,0.1,1680000,"[35,35,35,35,54,35,29,29,43,81,100,22]",2025-12-24,"Local pack, Image pack, Video, Image, People also ask, Related searches",commercial,Local pack
andorre piscine,1,1,210,,0.25,http://www.caldea.com/,52,0.13,13.00,0.07,1740000,"[35,35,66,43,35,35,43,66,81,22,29,35]",2026-01-25,"Local pack, Image pack, Video, Image, People also ask, Related searches",commercial,Local pack
andorre la vieille spa,1,1,210,19,0.40,https://www.caldea.com/fr/,52,0.13,20.00,0.42,249000,"[53,66,66,66,82,53,53,53,35,35,28,66]",2025-12-05,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
spa caldea,2,2,1900,42,0.24,https://www.caldea.com/,49,0.12,11.00,0.45,419000,"[100,10,54,54,13,10,3,5,13,8,66,15]",2025-12-22,"Knowledge panel, Sitelinks, Video, Image, Ads top, People also ask, Related searches",navigational,Organic
andorra caldea balneario,2,2,1900,31,0.25,https://www.caldea.com/fr/classic,49,0.12,12.00,0.4,28600,"[35,44,29,100,66,81,100,0,0,0,0,0]",2026-01-09,"Knowledge panel, Video, Image, Ads bottom, Related searches",informational,Organic
andorre spa,1,1,1300,17,0.22,https://www.caldea.com/fr/entrees,42,0.1,9.00,0.51,1710000,"[29,35,13,18,18,13,16,16,24,29,24,29]",2025-12-25,"Sitelinks, Video, Image, Hotels Pack, People also ask, Related searches",transactional,People also ask
bain andorre,1,1,50,21,0.19,https://www.caldea.com/fr/classic,40,0.1,7.00,0.25,4450000,"[63,63,27,18,18,18,18,27,100,27,81,100]",2026-02-03,"Knowledge panel, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
andorre bains,1,1,50,18,0.23,https://www.caldea.com/fr/classic,40,0.1,9.00,0.36,8530000,"[81,63,63,45,63,18,18,18,18,100,18,100]",2025-12-29,"Knowledge panel, Image pack, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches","informational, transactional",Organic
centre spa caldea,1,1,50,31,0.20,https://www.caldea.com/fr/,40,0.1,8.00,0.32,0,"[33,19,9,9,9,9,9,9,52,52,9,52]",2025-12-27,"Knowledge panel, Sitelinks, Video, Image, Related searches, Short videos",navigational,Organic
hôtel spa andorre caldea,1,1,50,20,0.31,https://www.caldea.com/fr/offre-hotel-andorre,40,0.1,12.00,0.7,15200,"[78,64,50,64,35,14,14,21,14,14,14,14]",2026-01-04,"Knowledge panel, Sitelinks, Ads bottom, Related searches",transactional,Organic
tarif caldea,1,1,50,26,0.09,https://www.caldea.com/fr/entrees,40,0.1,3.00,0.18,9460,"[29,64,11,23,64,64,11,11,11,11,11,11]",2025-10-21,"Image pack, Video, People also ask, Related searches","navigational, transactional",Organic
bains andorre,1,1,50,18,0.18,https://www.caldea.com/fr/classic,40,0.1,7.00,0.32,7880000,"[63,63,81,63,63,45,63,18,18,18,18,100]",2025-12-03,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
andorre cure thermale,1,1,50,20,0.22,https://www.caldea.com/fr/,40,0.1,8.00,0.36,10400,"[23,33,52,33,23,23,19,19,19,9,9,52]",2025-12-20,"Knowledge panel, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches",commercial,Organic
cure thermale andorre,1,1,50,19,0.22,https://www.caldea.com/fr/,40,0.1,8.00,0.36,10300,"[19,26,42,34,19,19,15,15,15,7,15,42]",2025-12-11,"Knowledge panel, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches",commercial,Organic
balnea andorre,1,1,50,38,0.20,https://www.caldea.com/fr/,40,0.1,8.00,0.34,921,"[21,21,34,21,6,6,6,9,6,6,15,9]",2025-12-24,"Knowledge panel, Sitelinks, Video, Image, Ads top, People also ask, Related searches","informational, transactional",Organic
centre caldea,1,1,50,34,0.18,https://www.caldea.com/fr/classic,40,0.1,7.00,0.21,254000,"[23,11,11,11,11,11,11,64,64,11,64,11]",2026-01-05,"Knowledge panel, Video, Image, Ads top, People also ask, Related searches","informational, transactional",Organic
food real,3,3,590,30,0.00,https://www.caldea.com/blog/mouvement-real-food-instagram/?lang=fr,38,0.09,0.00,0.01,4330000000,"[8,5,7,3,11,31,46,100,0,0,84,84]",2026-01-02,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
caldea andorre,2,2,5400,55,0.25,https://www.caldea.com/en/add-extras,37,0.09,9.00,0.4,261000,"[81,66,81,54,66,23,44,35,100,100,66,81]",2026-01-27,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches, Short videos",navigational,People also ask
spa andorra,1,1,140,10,0.45,https://www.caldea.com/fr/,34,0.08,15.00,0.51,22200000,"[26,65,26,100,34,100,80,65,42,42,80,42]",2025-12-06,"Sitelinks, Video, Image, Hotels Pack, People also ask, Related searches",commercial,Organic
thalasso andorre la vieille,1,1,140,17,0.46,https://www.caldea.com/fr/,34,0.08,15.00,0.96,5910,"[34,43,53,43,43,43,34,43,28,21,53,43]",2025-12-06,"Local pack, Image pack, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches",commercial,Organic
thalasso en andorre,1,1,260,18,0.23,http://www.caldea.com/,34,0.08,7.00,0.7,2200000,"[72,39,21,17,17,21,17,9,21,26,39,21]",2026-01-31,"Local pack, Image pack, Video, Image, Ads bottom, People also ask, Related searches",commercial,Local pack
pas de la case spa,1,1,140,14,0.29,https://www.caldea.com/fr/,34,0.08,9.00,0.68,21600000,"[18,35,29,54,54,43,35,18,14,14,14,22]",2025-11-28,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
caldea andorra,2,2,1300,49,0.20,https://www.caldea.com/,33,0.08,6.00,0.36,561000,"[43,16,36,20,54,8,10,3,43,3,81,65]",2025-11-28,"Knowledge panel, Sitelinks, Video, Image, Ads top, People also ask, Related searches",navigational,Organic
caldea spa andorra,2,2,1300,41,0.25,https://www.caldea.com/,33,0.08,8.00,0.4,363000,"[10,7,15,5,28,15,24,8,8,15,100,8]",2026-01-25,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches, Short videos",navigational,Organic
andorre la vieille thalasso,1,1,110,11,0.23,https://www.caldea.com/fr/,27,0.07,6.00,0.74,119000,"[82,82,82,52,82,41,41,100,82,64,82,64]",2026-02-04,"Video, Image, Ads bottom, Video Carousel, People also ask, Related searches",commercial,Organic
caleda,1,1,210,26,0.49,https://www.caldea.com/fr/,27,0.07,13.00,0.09,10,"[0,0,0,54,29,66,66,54,0,5,0,36]",2025-11-13,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
andorra spa,1,1,110,14,0.25,http://www.caldea.com/,27,0.07,6.00,0.49,23000000,"[21,100,12,15,15,9,15,28,100,28,34,43]",2026-01-10,"Local pack, Video, Image, People also ask, Related searches",commercial,Local pack
spa pas de la case,1,1,210,11,0.29,https://www.caldea.com/fr/,27,0.07,7.00,0.68,22300000,"[18,43,35,81,100,66,54,18,14,14,29,29]",2025-12-12,"Sitelinks, Video, Image, Hotels Pack, Related searches",commercial,Organic
andorre la vieille spa,1,1,210,19,0.40,http://www.caldea.com/,27,0.07,10.00,0.42,249000,"[53,66,66,66,82,53,53,53,35,35,28,66]",2025-12-05,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Local pack
andorra caldea balneario,4,4,1900,31,0.25,https://www.caldea.com/en/,26,0.06,6.00,0.4,28600,"[35,44,29,100,66,81,100,0,0,0,0,0]",2026-01-09,"Knowledge panel, Video, Image, Ads bottom, Related searches",informational,Organic
hotel spa andorre,9,9,1300,18,0.38,https://www.caldea.com/fr/,24,0.06,9.00,0.98,1030000,"[55,82,65,82,65,44,30,24,24,16,30,44]",2025-12-09,"Sitelinks, Image, Hotels Pack, Related searches",commercial,Organic
hotel andorre spa,10,10,1300,17,0.38,https://www.caldea.com/fr/,24,0.06,9.00,0.98,1030000,"[44,65,44,82,44,34,24,20,24,24,34,44]",2025-11-30,"Sitelinks, Image, Ads bottom, Hotels Pack, Related searches",commercial,Organic
photos de caldea,1,1,590,16,0.00,https://www.caldea.com/blog/bienfaits-eau-thermale-caldea/?lang=fr,24,0.06,0.00,0,260000,"[100,76,67,55,30,20,13,30,30,30,24,20]",2026-01-22,"Image pack, Video, Image, People also ask, Related searches",informational,Image pack
photos de caldea,1,1,590,16,0.00,https://www.caldea.com/blog/lagune-panoramique/?lang=fr,24,0.06,0.00,0,260000,"[100,76,67,55,30,20,13,30,30,30,24,20]",2026-01-22,"Image pack, Video, Image, People also ask, Related searches",informational,Image pack
photos de caldea,1,1,590,16,0.00,https://www.caldea.com/fr/faq-caldea,24,0.06,0.00,0,260000,"[100,76,67,55,30,20,13,30,30,30,24,20]",2026-01-22,"Image pack, Video, Image, People also ask, Related searches",informational,People also ask
thermes andorre la vieille,1,1,90,14,0.29,https://www.caldea.com/fr/classic,22,0.05,6.00,0.48,49900,"[41,41,41,41,29,41,11,29,64,100,100,82]",2026-01-27,"Knowledge panel, Video, Image, People also ask, Related searches",informational,Organic
parc aquatique andorre,1,1,90,19,0.44,https://www.caldea.com/fr/classic,22,0.05,9.00,0.06,549000,"[44,6,11,8,6,8,11,6,8,11,11,28]",2025-09-10,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
andorre centre aquatique,1,1,90,16,0.19,https://www.caldea.com/fr/classic,22,0.05,4.00,0.25,341000,"[50,50,64,50,64,50,50,100,100,50,50,50]",2026-01-28,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
andorre spa,1,1,1300,17,0.22,https://www.caldea.com/fr/faq-caldea,22,0.05,4.00,0.51,1710000,"[29,35,13,18,18,13,16,16,24,29,24,29]",2025-12-25,"Sitelinks, Video, Image, Hotels Pack, People also ask, Related searches",transactional,People also ask
andorre la vieille piscine,1,1,90,17,0.45,http://www.caldea.com/,22,0.05,9.00,0.11,234000,"[28,50,50,50,50,64,50,50,64,78,100,100]",2025-12-19,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Local pack
piscine andorre la vieille,1,1,90,17,0.45,http://www.caldea.com/,22,0.05,9.00,0.11,231000,"[12,21,21,21,21,21,15,21,21,21,43,65]",2025-12-21,"Local pack, Image pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Local pack
