Dirección,Código de respuesta,Tipo de contenido,Indexabilidad,Estado de indexabilidad,Nivel de profundidad,Enlaces internos,Enlaces internos únicos,Enlaces salientes,Recuento de palabras,Tiempo de respuesta,Last Modified,Elemento de enlace canónico 1,Meta robots 1,Título 1,Meta description 1,H1-1,Ancho de píxeles del título 1,Ancho de píxeles de la meta description 1
https://www.caldea.com/aguas-termales,200,text/html; charset=UTF-8,Indexable,,2,5307,2638,152,1310,"0,362",,,"all,index,follow",Propiedades de las aguas termales en Caldea | Spa en Andorra,"Disfruta en Caldea de nuestras aguas termales ricas en azufre y minerales, sódicas y untuosas como el plancton. Te renovarán plenamente.",Composición química del agua de Caldea,560,860
https://www.caldea.com/horarios-caldea,200,text/html; charset=UTF-8,Indexable,,2,7986,2639,153,895,"0,378",,,"all,index,follow",Calendario y horarios del spa Caldea en Andorra,"Consulta los días de cierre de Caldea así como los horarios de apertura de Premium, Spa Infantil y los restaurantes del spa",Calendario 2025,427,750
https://www.caldea.com/classic/entrada-para-2-personas,200,text/html; charset=UTF-8,Indexable,,2,24,4,153,913,"0,478",,,"all, index, follow",Caldea | Entrada Classic en pareja,Disfruta de una oferta especial en el spa Caldea de Andorra: acceso Classic de 2 horas para 2 personas con entrada en cualquier momento del día  por solo 69 €.,Entrada Classic Pack Dúo,303,982
https://www.caldea.com/politica-privacidad,200,text/html; charset=UTF-8,Indexable,,2,5304,2638,166,7282,"0,410",,,"no index, follow",Privacidad y cookies Caldea,Política de privacidad y cookies del centro termal  Caldea,POLÍTICA DE PRIVACIDAD,248,345
https://www.caldea.com/entradas-residentes?inuu=Y,200,text/html; charset=UTF-8,Indexable,,2,2661,2638,155,936,"0,499",,,"no index, no follow",Entradas residentes,,,178,0
https://www.caldea.com/amigos,200,text/html; charset=UTF-8,Indexable,,2,5296,2638,158,884,"0,514",,,"all, index, follow",Descubre todas experiencias para hacer en Caldea con amigos,"Combina Caldea con actividades en Andorra, como esquiar, hace snow en Grandvalira o los mejores planes gastronómicos con tus amigos.",Caldea con amigos,559,858
https://www.caldea.com/entradas,200,text/html; charset=UTF-8,Indexable,,2,83,49,175,4038,"0,904",,,"all,index,follow",Entrada Classic a Caldea. Mejor precio disponible.,"Compra online tu entrada Classic a Caldea con acceso a la laguna interior, piscina panorámica, saunas, jacuzzis, baños indoromanos.",,443,824
https://www.caldea.com/js/jquery.colorbox.js,200,application/javascript,Indexable,,2,0,0,0,0,"0,039","Mon, 20 Nov 2023 05:55:52 GMT",,,,,,0,0
https://www.caldea.com/espectaculos,200,text/html; charset=UTF-8,Indexable,,2,5364,2638,152,1061,"0,523",,,"all,index,follow",Espectáculos Caldea | Descubre todos los shows del Spa Andorra,"¡Luces, música y acción! Disfruta de los espectáculos de acrobacias y música en directo de Caldea. ¡No te lo pierdas!",,579,712
https://www.caldea.com/tratamientos-organicos/facial-by-sothys,200,text/html; charset=UTF-8,Indexable,,2,5300,2638,156,944,"0,451",,,"all,index,follow",Tratamientos de belleza con productos con certificación bio,"Descubre la nueva gama de tratamientos con productos ecológicos y naturales, reserva tu masaje solo o complétalo con la entrada a las aguas termales de Inúu.",Facial,532,992
https://www.caldea.com/ofertas-spa-masaje,200,text/html; charset=UTF-8,Indexable,,2,5313,2638,161,1283,"0,578",,,"all,index,follow","¡Ofertas Únicas! Spa y Masajes en Caldea, Andorra ✔️","Descubre nuestras ofertas de spa y masaje en Caldea, Andorra. ✅ ¡No esperes más, reserva tu experiencia ahora!",Ofertas con masaje,472,690
https://www.caldea.com/condiciones-especiales-discapacidad,200,text/html; charset=UTF-8,Indexable,,2,5303,2638,171,2554,"0,653",,,"all,index,follow",Tarifas y condiciones para personas con discapacidad en Caldea,"Toda la información sobre precios y condiciones para acceder a la tarifa para personas con diversidad funcional en Caldea, así como la documentación que tendrás que presentar al llegar.",,573,1151
https://www.caldea.com/bolsa-trabajo,200,text/html; charset=UTF-8,Indexable,,2,1384,1360,158,1209,"0,378",,,"all,index,follow",Bolsa de trabajo | Ofertas de empleo en el centro Termal Caldea,¿Quieres trabajar con nosotros? Consulta las ofertas de trabajo vigentes o envíanos tu CV para futuras vacantes.,¿Quieres trabajar con nosotros?,571,700
https://www.caldea.com/que-hacer-andorra,200,text/html; charset=UTF-8,Indexable,,2,2658,2638,152,1096,"0,350",,,"all, index, follow",Planes en pareja en Andorra: Caldea y actividades para dos,"Planes románticos para todo tipo de parejas: aventureras, culturales, gastrolovers y sobretodo amantes del spa y las aguas termales. ¡Encuentra el tuyo aquí!",Descubre Andorra…,527,970
https://www.caldea.com/politica-cookies,200,text/html; charset=UTF-8,Indexable,,2,280,254,151,706,"0,363",,,"no index, follow",Política de cookies,,Política de cookies,167,0
https://www.caldea.com/ofertas-esqui-andorra,200,text/html; charset=UTF-8,Indexable,,2,5338,2638,162,1397,"0,550",,,"all,index,follow",Ofertas de nieve,"Compra online las mejores ofertas en forfaits de esquí para Grandvalira, Vallnord Pal Arinsal o Ordino Arcalís más entrada a Caldea",Ofertas de nieve,147,807
https://www.caldea.com/virtual-tour-landing,301,text/html; charset=UTF-8,No indexable,Redirigido,2,5276,2638,0,0,"0,045",,,,,,,0,0
https://www.caldea.com/css/common.css.php?v1=20260206001758&&owl.carousel.css&easy-responsive-tabs.css&select2.min.css&jquery-ui.css&common.css&style.css&index.css&jquery.comiseo.daterangepicker.css&colorbox.css&topbar-control.css&infobox1-control.css&offerslider-control.css&special-banner-control.css&style.css&style-index.css&infobox2-control.css&facility-slider-control.css&our-service-control.css&jquery.mCustomScrollbar.css&bootstrap.min.css&infobox3-control.css&subscription-control.css&topbar-control.css&footer-control.css&copyright-control.css&responsive-control.css,200,text/css;charset=UTF-8,Indexable,,2,0,0,0,0,"0,143",,,,,,,0,0
https://www.caldea.com/nuestro-equipo,200,text/html; charset=UTF-8,Indexable,,2,2658,2638,151,1089,"0,482",,,"all,index,follow",¿Quieres formar parte del equipo de Caldea? | Trabaja con nosotros,"Si quieres trabajar en Andorra, únete al equipo de Caldea. Buscamos personas con entusiasmo por el sector del turismo y los servicios. No lo dudes, contacta con nosotros ya.",Nuestro equipo. Conócenos,599,1072
https://www.caldea.com/belleza-by-sothys/facial,200,text/html; charset=UTF-8,Indexable,,2,5303,2638,163,1100,"0,604",,,"all, index, follow",Tratamientos faciales Sothys para todo tipo de pieles,"Encuentra el tratamiento facial que mejor se adapta a tu tipo de piel en Inúu, el spa adults only de Caldea y combina la entrada con una sesión de belleza.",Facial,475,939
https://www.caldea.com/ofertas-caldea-hotel,200,text/html; charset=UTF-8,Indexable,,2,10594,2640,151,1448,"1,148",,,"all, index, follow",Encuentra las mejores ofertas de hotel y Caldea – Andorra,"Te proponemos las mejores opciones de alojamientos para disfrutar de una escapada en el spa termal de Caldea con entrada Classic, o Premium y también al Spa Infantil si vienes con niños. ¡Compra aquí tu oferta!",Caldea + Hotel,520,1311
https://www.caldea.com/tratamientos-masajes,200,text/html; charset=UTF-8,Indexable,,2,23,4,159,1108,"0,344",,,"all, index, robots",Masajes y tratamientos de bienestar spa y belleza en Caldea,"Completa la entrada al Termolúdico o Inúu con masajes relajantes, tratamientos orientales, acuáticos, masajes dúo y rituales de belleza corporales y faciales",Tratamientos y Masajes,540,963
https://www.caldea.com/tratamientos,200,text/html; charset=UTF-8,Indexable,,2,5430,2642,226,2919,"1,049",,,"all,index,follow",Tratamientos Spa en Andorra | Bienestar centro termal Caldea,"Caldea le invita a descubrir sus tratamientos de belleza facial y corporal, así como sus masajes relajantes, tonificantes, orientales, reflexología podal...",Todos los tratamientos,556,921
https://www.caldea.com/familias,200,text/html; charset=UTF-8,Indexable,,2,5296,2638,157,1035,"0,453",,,"all, index, robots",Spa con niños en Andorra | Caldea,"Disfruta Caldea en familia con niños a partir de 5 años y divertiros en las aguas termales del spa con niños con las mejores propuestas 
durante todo el año.",Caldea en familia,304,953
https://www.caldea.com/condiciones-especiales-minusvalia,301,text/html; charset=UTF-8,No indexable,Redirigido,2,2638,2638,0,0,"0,047",,,,,,,0,0
https://www.caldea.com/ofertas,200,text/html; charset=UTF-8,Indexable,,2,5361,2640,195,3343,"1,151",,,"all,index,follow",¡Ofertas irresistibles en Caldea Andorra! Descúbrelas ✔️,¿Estás buscando la mejor oferta para pasar un día de spa en Andorra? Descubre ofertas únicas a precios increíbles ✅ ¡No esperes más y reserva ya!,Descubre las mejores ofertas especiales de Caldea,494,903
https://www.caldea.com/talleres,200,text/html; charset=UTF-8,Indexable,,2,5304,2638,156,1128,"0,363",,,"all,index,follow",Tallers Caldea | Descobreix les activitats wellness del Spa Andorra,Aprofita la teva entrada Premium i assisteix gratuïtament als tallers wellness de Caldea. No t'ho perdis!,Talleres wellness de Caldea,591,632
https://www.caldea.com/cultura,200,text/html; charset=UTF-8,Indexable,,2,5302,2638,158,1215,"0,442",,,,Cultura - Van Gogh Alive,"Si te apasiona el arte o la buena música, ¿por qué no un plan de Spa + Cultura? Visita el Museo Carmen Thyssen de Andorra o déjate llevar por el mejor Jazz en el Festival Internacional que se celebra cada año en Andorra.",Cultura - Van Gogh Alive,217,1349
https://www.caldea.com/carta-restaurante,200,text/html; charset=UTF-8,Indexable,,2,5310,2638,159,1178,"0,348",,,"all,index,follow",Consulta la carta de comida del restaurante Blu de Caldea,"Descubre los platos de la carta mediterránea con toques italianos como pastas, arroces, pizzas, carnes o pescados y disfruta del restaurante Blu o Acuático.",,517,963
https://www.caldea.com/entradas-plus,200,text/html; charset=UTF-8,Indexable,,2,40,15,164,2555,"0,509",,,"all,index,follow",Entrada Plus en Caldea: Experiencia con Orígenes,"Experiencia Plus en Caldea: entrada a la gran laguna interior, piscinas exteriores y panorámica y su famoso baño de pomelos.",,442,771
https://www.caldea.com/oferta-hotel-andorra,200,text/html; charset=UTF-8,Indexable,,2,5378,2646,165,1550,"0,536",,,"all,index,follow",Ofertas con hotel en Andorra,Reserva Caldea y Hotel y disfruta de una escapada con ofertas exclusivas. ¡Escápate unos días con alojamiento en Andorra y la experiencia de spa definitiva!,Ofertas con hotel,257,964
https://www.caldea.com/js/vimeo.js,200,application/javascript,Indexable,,2,0,0,0,0,"0,041","Fri, 21 Apr 2023 05:01:22 GMT",,,,,,0,0
https://www.caldea.com/acciones-responsabilidad-social-corporativa,200,text/html; charset=UTF-8,Indexable,,2,2658,2638,152,1577,"0,304",,,"all, index, follow",Acciones de responsabilidad social y corporativa en Caldea,"Cuidamos del medio ambiente con políticas de reducción de consumo eléctrico, tratamos eficientemente las aguas termales y emprendemos acciones para la sociedad.",Compromiso ético,525,1030
https://www.caldea.com/ofertas-especial-parejas,200,text/html; charset=UTF-8,Indexable,,2,5316,2639,164,1473,"0,527",,,"all,index,follow",Ofertas Spa y Relax en Andorra - Escapadas San Valentín | Caldea,"Este San Valentín, ven de escapada romántica a Caldea con tu medio pomelo o con quien tú quieras. Elige entre las ofertas spa que te proponemos y ¡deja que fluya el amor!",Ofertas San Valentín,584,1057
https://www.caldea.com/como-llegar,200,text/html; charset=UTF-8,Indexable,,2,5298,2638,154,852,"0,373",,,"all,index,follow",Cómo llegar a Caldea en transporte público,Principales conexiones para llegar a Andorra en transporte público. Contacto aparcamiento Caldea.,¿Cómo llegar?,385,615
https://www.caldea.com/belleza-by-sothys/corporal,200,text/html; charset=UTF-8,Indexable,,2,5299,2638,153,831,"0,432",,,"all, index, follow",Tratamientos de belleza y masajes corporales de Sothys en Andorra,Añade a tu entrada a las termales de Caldea un masaje relajante completo de todo el cuerpo con la gama de productos Sothys Paris. ¡Resérvalo aquí!,Corporal,606,916
https://www.caldea.com/entrada-inuu,301,text/html; charset=UTF-8,No indexable,Redirigido,2,19,18,0,0,"0,048",,,,,,,0,0
https://www.caldea.com/tratamientos-organicos/corporal,200,text/html; charset=UTF-8,Indexable,,2,5300,2638,161,1068,"0,450",,,"all,index,follow",Masajes corporales con aceite de certificación ecológica,"Disfruta en Caldea de masajes corporales, relajantes y orgánicos realizados con aceite con certificación ecológica. ¡Descúbrelos y reservarlos aquí!",Corporal,503,900
https://www.caldea.com/masajes/generales,200,text/html; charset=UTF-8,Indexable,,2,5302,2638,162,1083,"0,511",,,"all,index,follow",Descubre la selección de masajes de todo el cuerpo en CALDEA,"Descubre nuestros masajes generales de todo el cuerpo, con crema, aceite de argán, a 4 manos y hasta los podrás realizar en pareja.",Generales,567,816
https://www.caldea.com/mi-cuenta-historial,302,text/html; charset=UTF-8,No indexable,Redirigido,2,10552,2638,0,0,"0,389",,,,,,,0,0
https://www.caldea.com/duo/masajes,200,text/html; charset=UTF-8,Indexable,,2,5303,2638,163,1121,"0,522",,,"all,index,follow",En pareja | Tratamientos Dúo,"Misma cabina, mismo masaje, mismas sensaciones. Descubre nuestros tratamientos dúo y disfrútalos con tu pareja. ¡Reserva ya!",Dúo,259,798
https://www.caldea.com/faq-caldea,200,text/html; charset=UTF-8,Indexable,,2,8201,2638,175,3910,"0,338",,,"all,index,follow",Caldea Andorra: FAQ Preguntas Frecuentes y Dudas,Descubre las respuestas a las preguntas y dudas más frecuentes sobre Caldea Andorra. ¡Resuelve tus inquietudes!,Resuelve tus dudas,463,706
https://www.caldea.com/parejas,200,text/html; charset=UTF-8,Indexable,,2,5297,2638,158,881,"0,372",,,"all, index, follow",Spa en pareja en Andorra | Caldea,"Desconecta con tu pareja en nuestro Spa en pareja en Andorra. Disfruta del Private Wellness, spa privado solo para vosotros, con masaje dúo opcional ¡Infórmate!",Caldea en pareja,302,997
https://www.caldea.com/tratamientos-aguas,200,text/html; charset=UTF-8,Indexable,,2,5296,2638,153,1012,"0,358",,,"no index, no follow",Tratamientos de las aguas,"Bañarte en Caldea es seguro porque tratamos nuestras aguas termales con luz UV y cloro, hacemos controles constantes y el agua se recircula permanentemente.",,238,1003
https://www.caldea.com/rituales/orientales,200,text/html; charset=UTF-8,Indexable,,2,5298,2638,157,934,"0,500",,,"all,index,follow",Tratamientos Caldea | Rituales Orientales,Descubre la mejor selección de rituales provenientes del Lejano Oriente.,Orientales,372,438
https://www.caldea.com/oferta-restaurante-andorra,200,text/html; charset=UTF-8,Indexable,,2,10626,2642,162,1375,"0,539",,,"all,index,follow",Ofertas Spa y Restaurantes en Caldea,"Disfruta de una experiencia que podrás saborear. Además de las aguas termales de Caldea, descubre nuestra selección de restaurantes. ¡Reserva ahora tu plan en Andorra!",Ofertas con restaurantes,338,1057
https://www.caldea.com/hotel,200,text/html; charset=UTF-8,Indexable,,2,5296,2638,153,1236,"0,338",,,"all, index, follow",El nuevo proyecto Caldea: un hotel de 4* ubicado en su torre,Caldea presenta un nuevo proyecto que se situará en la emblemática torre de cristal: un hotel de 4* para adultos que completará  la oferta del spa termal.,El Hotel Caldea,534,938
https://www.caldea.com/caldea-carne-joven,200,text/html; charset=UTF-8,Indexable,,2,2666,2638,151,1147,"0,328",,,"no index,no follow",Ofertas Caldea: Descuentos con Carné Joven,Aprovecha las mejores ofertas en Caldea con el Carné Joven. Disfruta del spa y la relajación a precios increíbles. ¡No las dejes escapar!,Las mejores ofertas en Caldea con tu Carné Joven,403,824
https://www.caldea.com/regala-experiencias,200,text/html; charset=UTF-8,Indexable,,2,5310,2638,166,1872,"0,507",,,"all,index,follow",Regala Caldea | Las mejores experiencias Spa en Andorra,"Buscas un regalo especial? Regala experiencias con spa, masajes, restaurante... ¡y mucho más! Entra y descubre nuestra selección.",Seleccione productos Regala,513,809
https://www.caldea.com/abonos,200,text/html; charset=UTF-8,Indexable,,2,5305,2638,164,2115,"0,609",,,"all,index,follow",Abonos de 3 y 5 Días en el spa Caldea Andorra,Compra tus abonos de 3 o 5 días para disfrutar de la buena vida en el mejor spa de Andorra.,,412,566
https://www.caldea.com/blog/,200,text/html; charset=UTF-8,Indexable,,2,18621,9145,232,921,"2,500",,https://www.caldea.com/blog/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","Blog Caldea Andorra | Noticias sobre termalismo, bienestar, salud","Siempre a la última en tendencias y novedades sobre termalismo, salud, bienestar y eventos destacados en Caldea y Andorra",Caldea,583,768
https://www.caldea.com/tour-virtual,200,text/html; charset=UTF-8,Indexable,,2,2662,2640,152,866,"0,397",,,"all,index,follow",Tour virtual: los rincones del Spa Inúu de Caldea Andorra,"Empieza a disfrutar de Caldea antes de llegar al spa termal. Visita sus lagunas, jucuzzis, saunas etc. gracias al Tour virtual que encontrarás en nuestra web.",Caldea Tour Virtual,503,959
https://www.caldea.com/login,200,text/html; charset=UTF-8,No indexable,noindex,2,7936,2638,157,980,"0,310",,,"NOINDEX, NOFOLLOW",Registro cliente web Caldea,Regístrate en la página web de CALDEA,Mi cuenta Caldea,248,244
https://www.caldea.com/contacto,200,text/html; charset=UTF-8,Indexable,,2,5310,2638,154,819,"0,328",,,"all,index,follow",Teléfonos de contacto con Caldea Andorra y mapa de localización,"Atención al cliente de Caldea. Te atenderemos encantados para resolver cualquier duda que tengas con tu reserva de entradas, masajes, información y horarios.",Contacta,586,987
https://www.caldea.com/regala-caldea,200,text/html; charset=UTF-8,Indexable,,2,5306,2639,156,1227,"0,315",,,"all,index,follow","Regala Caldea | Tarjeta regalo o experiencias con entradas, masajes y restaurante","Consigue los mejores regalos para Navidad, Reyes y el cumpleaños con nuestra tarjeta regalo o nuestra selección de experiencias con entradas, tratamientos y restaurante. ¡Regala Caldea y haz feliz a quién más quieres!",Compra una tarjeta regalo,731,1346
https://www.caldea.com/aviso-legal,200,text/html; charset=UTF-8,Indexable,,2,2658,2638,153,1947,"0,363",,,"no index, follow","Aviso legal, términos y condiciones de la página de Caldea","Aviso legal, términos y condiciones de uso del sitio web de Caldea",Aviso legal,518,401
https://www.caldea.com/restaurantes,200,text/html; charset=UTF-8,Indexable,,2,5330,2642,155,1041,"0,395",,,"all, index, follow",Restaurantes Caldea | Gastronomía en Andorra,En los restaurantes de Caldea podrás disfrutar de la cocina mediterránea en el Blu o deleitarte con los sabores japoneses y tailandeses del Restaurante Siam Shiki.,,420,997
https://www.caldea.com/siam-shiki-restaurante,200,text/html; charset=UTF-8,Indexable,,2,5325,2638,174,2104,"0,475",,,"all,index,follow",Consulta la carta de platos del restaurante Siam Shiki,"Come en Caldea en el restaurante thai-japonés Siam Shiki, descubre la carta de platos orientales aquí.",,478,624
https://www.caldea.com/andorra,200,text/html; charset=UTF-8,Indexable,,2,2658,2638,152,867,"0,386",,,"all,index,follow",Qué ver en Andorra | Información y enlaces de interés turístico,Descubre todas las actividades y experiencias que puedes vivir en Andorra para completar tu escapada termal.,"Andorra, todo un país por ver, todo un país para vivirlo.",554,681
https://www.caldea.com/js/lazyload.js,200,application/javascript,Indexable,,2,0,0,0,0,"0,042","Mon, 20 Nov 2023 05:55:52 GMT",,,,,,0,0
https://www.caldea.com/condiciones-reserva,200,text/html; charset=UTF-8,Indexable,,2,2658,2638,151,1955,"0,344",,,"no index, follow",Condiciones generales de reserva Caldea,Condiciones generales de reserva del balneario Caldea,,368,334
https://www.caldea.com/tarjeta-regalo,200,text/html; charset=UTF-8,Indexable,,2,5314,2639,154,1631,"0,347",,,"all,index,follow",Tarjeta regalo Caldea,"¿No sabes qué regalar? Compra online la tarjeta regalo Caldea, válida para canjear por entradas al spa, masajes y tratamientos, restauración...","REGALA BUENA VIDA, REGALA CALDEA",192,880
https://www.caldea.com/club-super3,200,text/html; charset=UTF-8,Indexable,,2,2659,2638,153,1258,"0,314",,,"no index, no follow",Disfruta de las ventajas del Club Super3 l Caldea,Ahora con el Club Super 3 los niños de 3 a 14 años tienen entrada Classic gratis. Acompáñalos y disfruta de una tarde en las aguas termales de Andorra.,Caldea gratis con el Club Super3,432,938
https://www.caldea.com/css/common.css.php?v1=20260206001800&&owl.carousel.css&easy-responsive-tabs.css&select2.min.css&jquery-ui.css&common.css&style.css&index.css&calendarnew.css&jquery.mCustomScrollbar.css&bootstrap.min.css&infobox3-control.css&subscription-control.css&topbar-control.css&footer-control.css&copyright-control.css&responsive-control.css,200,text/css;charset=UTF-8,Indexable,,3,0,0,0,0,"0,068",,,,,,,0,0
https://www.caldea.com/rituales/ayurveda,200,text/html; charset=UTF-8,Indexable,,2,5303,2638,161,1059,"0,413",,,"all, index, follow",Tratamientos Caldea | Ayurveda,Disfruta en CALDEA de los tratamientos ayurveda. Toda una terapia ancestral originaria de la India.,Ayurveda,286,613
https://www.caldea.com/premium/ritual-japones-hanakasumi-sothys-60,200,text/html; charset=UTF-8,Indexable,,3,26,6,153,934,"0,358",,,"all,index,follow",Gommage corporal inspirado del ritual del baño de Japón en Caldea,"Tratamiento completo con exfoliación corporal, masaje de pies y unción del cuerpo para salir de la cabina con la piel revitalizada y nutrida. ¡Resérvalo en Inúu!",Japonés Hanakasumi 75',604,967
https://www.caldea.com/images/caldea-innu.jpg,200,image/jpeg,Indexable,,3,0,0,0,0,"0,160","Thu, 31 Mar 2022 08:57:25 GMT",,,,,,0,0
https://www.caldea.com/inuu-entradas,301,text/html; charset=UTF-8,No indexable,Redirigido,3,31,26,0,0,"0,056",,,,,,,0,0
https://www.caldea.com/css/common.css.php?v1=20260206001759&&owl.carousel.css&easy-responsive-tabs.css&select2.min.css&jquery-ui.css&common.css&style.css&index.css&reservar-menu.css&callender.css&lsting.css&offerslider-control.css&style-select.css&tractaments.css&bootstrap.min.css&popup1.css&jquery.mCustomScrollbar.css&bootstrap.min.css&infobox3-control.css&subscription-control.css&topbar-control.css&footer-control.css&copyright-control.css&responsive-control.css,200,text/css;charset=UTF-8,Indexable,,3,0,0,0,0,"0,147",,,,,,,0,0
https://www.caldea.com/css/common.css.php?v1=20260206001759&&bootstrap.min.css&owl.carousel.css&easy-responsive-tabs.css&select2.min.css&jquery-ui.css&common.css&style.css&contactUs.css&index.css&faq-style.css&style-register.css&popup1.css&offerslider-control.css&responsive.css&colorbox.css&landingpage-tool.css&couplelanding.css&lightslider.css&lsting.css&inuu-landing.css&blackfriday.css&nicetomeetyou.css&landingpage-tool.css&couplelanding.css&jquery.mCustomScrollbar.css&bootstrap.min.css&infobox3-control.css&subscription-control.css&topbar-control.css&footer-control.css&copyright-control.css&responsive-control.css,200,text/css;charset=UTF-8,Indexable,,3,0,0,0,0,"0,165",,,,,,,0,0
https://www.caldea.com/premium/masaje-doji-30-min,200,text/html; charset=UTF-8,Indexable,,3,26,6,154,898,"0,399",,,"all,index,follow",Masaje relajante doji - tratamiento con técnicas japonesas,Masaje relajante local a la luz de las velas con la técnica japonesa DOJI. ¡Una experiencia única!,Masaje Doji 30',521,585
https://www.caldea.com/inuu/cena-red-bar-unnic,301,text/html; charset=UTF-8,No indexable,Redirigido,3,7,6,0,0,"0,041",,,,,,,0,0
https://www.caldea.com/blog/wp-content/plugins/meta-slider-and-carousel-with-lightbox/assets/css/slick.css?ver=2.0.7,200,text/css,Indexable,,3,0,0,0,0,"0,130","Wed, 03 Dec 2025 09:30:46 GMT",,,,,,0,0
https://www.caldea.com/blog/wp-content/plugins/wordpress-popular-posts/assets/js/wpp.min.js?ver=7.3.6,200,application/javascript,Indexable,,3,0,0,0,0,"0,052","Wed, 03 Dec 2025 09:30:58 GMT",,,,,,0,0
https://www.caldea.com/js/jquery.responsiveTabs.min.js,200,application/javascript,Indexable,,3,0,0,0,0,"0,155","Thu, 31 Mar 2022 08:57:34 GMT",,,,,,0,0
https://www.caldea.com/premium/entrada-noche-con-coctel,200,text/html; charset=UTF-8,Indexable,,3,26,5,155,1069,"0,369",,,"all, index, follow",Veladas de Spa | Entrada Caldea con cóctel incluido,"Descubre las exclusivas Veladas de Spa solo para adultos: Accede al Spa Only adults de Caldea durante las últimas 4 horas del día, con entrada a las Champagne Sessions de 19h a 23h",Entrada Premium tardes y noches con cóctel,459,1132
https://www.caldea.com/blog/wp-content/plugins/wordpress-popular-posts/assets/css/wpp.css?ver=7.3.6,200,text/css,Indexable,,3,0,0,0,0,"0,149","Wed, 03 Dec 2025 09:30:58 GMT",,,,,,0,0
