Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
andorra la caldea,1,1,90,20,0.57,https://www.caldea.com/en/,72,1.95,41.00,0.02,676000,"[0,0,0,0,0,0,100,81,0,0,0,0]",2026-01-13,"Knowledge panel, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
caldea balneario,1,1,50,15,0.57,https://www.caldea.com/en/,40,1.08,22.00,0.02,154000,"[0,100,2,2,0,0,29,4,0,0,0,0]",2025-12-31,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches","informational, transactional",Organic
andorra caldea,1,1,50,31,1.01,https://www.caldea.com/en/,40,1.08,40.00,0.03,577000,"[15,15,15,34,19,26,15,15,11,26,26,19]",2025-12-15,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
spa definition,1,0,880,,0.00,https://www.caldea.com/blog/origin-word-spa/?lang=en,36,0.97,0.00,0.01,694000000,"[37,46,46,46,31,46,52,37,52,52,25,37]",2026-02-05,"Knowledge panel, Video, People also ask, Related searches, Short videos",informational,People also ask
spa andorra,1,1,140,21,1.02,http://www.caldea.com/,34,0.92,34.00,0.04,23100000,"[34,15,34,26,80,100,53,65,65,42,65,11]",2025-12-18,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Local pack
andorra spa,1,1,140,21,0.97,https://www.caldea.com/en/,34,0.92,32.00,0.04,20800000,"[52,100,66,100,100,52,80,80,23,33,80,100]",2026-01-02,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
andorra caldea spa,1,1,40,37,0.66,https://www.caldea.com/en/,32,0.87,21.00,0.04,372000,"[2,2,0,0,0,0,2,0,0,100,2,2]",2026-01-24,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
spa caldea,1,1,40,37,0.57,https://www.caldea.com/en/,32,0.87,18.00,0.02,428000,"[43,12,21,15,28,0,0,0,0,0,0,0]",2026-01-04,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
caldea andorre,1,1,110,14,1.01,https://www.caldea.com/en/,27,0.73,27.00,0.03,259000,"[35,22,35,43,100,2,2,4,8,0,8,0]",2025-12-15,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches","informational, transactional",Organic
centro caldea,3,3,320,30,1.01,https://www.caldea.com/en/entries,26,0.7,26.00,0.03,249000,"[66,35,66,28,54,100,0,100,81,23,28,66]",2025-12-15,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches","informational, transactional",Organic
what are the spa,1,1,720,14,0.33,https://www.caldea.com/blog/origin-word-spa/?lang=en,23,0.62,7.00,0,878000000,"[0,0,0,0,0,100,66,8,1,24,52,0]",2026-01-12,"Local pack, Video, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
andorre caldea,1,1,90,14,0.57,https://www.caldea.com/en/,22,0.59,12.00,0.02,249000,"[0,0,1,0,0,1,100,81,0,0,0,0]",2025-12-30,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches","informational, transactional",Organic
spa caldea andorre,1,1,90,35,1.01,https://www.caldea.com/en/,22,0.59,22.00,0.03,214000,"[0,0,0,0,0,0,0,100,81,0,0,0]",2025-12-18,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches","informational, transactional",Organic
what does s.p.a. stand for,1,1,170,31,0.00,https://www.caldea.com/blog/origin-word-spa/?lang=en,21,0.57,0.00,0,212000000,"[81,81,15,11,1,1,0,0,0,0,81,81]",2026-01-16,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",informational,People also ask
andorra spa,1,1,140,21,0.97,http://www.caldea.com/,18,0.48,17.00,0.04,20800000,"[52,100,66,100,100,52,80,80,23,33,80,100]",2026-01-02,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Local pack
caldea spa,2,2,590,44,1.01,https://www.caldea.com/,15,0.4,15.00,0.03,465000,"[72,59,59,100,59,72,39,48,48,72,72,59]",2025-12-17,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
s.p.a. meaning,9,9,590,46,0.00,https://www.caldea.com/blog/origin-word-spa/?lang=en,14,0.38,0.00,0,487000000,"[20,7,7,3,52,100,0,0,0,0,0,0]",2025-12-19,"Knowledge panel, Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
what does spa stand for,5,5,590,32,0.00,https://www.caldea.com/blog/origin-word-spa/?lang=en,14,0.38,0.00,0,200000000,"[81,66,66,81,81,66,66,100,81,100,66,66]",2026-01-26,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",informational,Organic
spa meaning,8,8,2400,39,0.00,https://www.caldea.com/blog/origin-word-spa/?lang=en,12,0.32,0.00,0,779000000,"[66,66,44,66,80,100,80,80,66,66,66,66]",2026-02-05,"Knowledge panel, Sitelinks, Video, People also ask, Related searches, Short videos",informational,Organic
caldea spa andorra,2,2,480,35,0.57,https://www.caldea.com/,12,0.32,6.00,0.02,326000,"[44,36,36,54,100,54,44,36,44,81,12,44]",2025-12-26,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
spa stands for,2,2,90,26,0.00,https://www.caldea.com/blog/origin-word-spa/?lang=en,11,0.29,0.00,0,110000000,"[33,42,33,52,33,33,33,33,42,52,52,42]",2025-12-21,"Knowledge panel, Sitelinks, Video, Related searches",informational,Organic
spa caldea andorre,2,2,90,35,1.01,https://www.caldea.com/en/classic,11,0.29,11.00,0.03,214000,"[0,0,0,0,0,0,0,100,81,0,0,0]",2025-12-18,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches","informational, transactional",Organic
belgium spa,1,1,590,35,1.76,https://www.caldea.com/blog/origin-word-spa/?lang=en,10,0.27,17.00,0.02,159000000,"[5,24,3,10,3,3,16,35,2,7,8,2]",2026-01-24,"Knowledge panel, Video, Image, People also ask, Related searches, See results about, Things to know","informational, transactional",People also ask
caldea,4,4,720,35,0.46,https://www.caldea.com/,10,0.27,4.00,0.02,1030000,"[72,88,88,48,48,72,48,59,59,72,72,59]",2026-01-13,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
spa andorre,1,1,40,12,0.00,http://www.caldea.com/,9,0.24,0.00,0.33,24500000,"[80,80,60,100,100,100,80,100,40,40,40,40]",2025-12-24,"Local pack, Video, Image, People also ask, Related searches",commercial,Local pack
inúu,1,1,40,9,0.00,https://www.caldea.com/blog/inuu/?lang=en,9,0.24,0.00,0.33,30900,"[18,18,18,18,18,18,18,18,100,18,100,18]",2026-01-01,"Knowledge panel, Image pack, Video, People also ask, Related searches",informational,Organic
spa andorra,1,1,140,21,1.02,https://www.caldea.com/en/,9,0.24,9.00,0.04,23100000,"[34,15,34,26,80,100,53,65,65,42,65,11]",2025-12-18,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Organic
caldea ad,1,1,40,27,1.01,https://www.caldea.com/en/,9,0.24,9.00,0.03,352000,"[0,0,0,0,0,0,0,0,100,0,0,0]",2025-12-21,"Knowledge panel, Image pack, Sitelinks, Video, People also ask, Related searches","informational, transactional",Organic
spas andorra,1,1,40,15,1.02,http://www.caldea.com/,9,0.24,9.00,0.04,1970000,"[0,100,0,100,0,4,0,0,4,4,0,4]",2025-12-21,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Local pack
andorra caldea balneario,10,10,320,,0.57,http://www.caldea.com/,9,0.24,5.00,0.02,28900,"[35,66,28,54,100,23,100,81,23,28,66,100]",2025-12-30,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos",navigational,Knowledge panel
spa roman,1,1,260,25,1.33,https://www.caldea.com/blog/origin-word-spa/?lang=en,8,0.21,10.00,0.22,64200000,"[23,44,19,12,15,7,19,100,7,19,100,12]",2026-01-07,"Local pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",commercial,People also ask
centro caldea,5,5,320,30,1.01,https://www.caldea.com/,7,0.19,7.00,0.03,249000,"[66,35,66,28,54,100,0,100,81,23,28,66]",2025-12-15,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches","informational, transactional",Organic
hoteles andorra con caldea,1,1,30,5,0.79,https://www.caldea.com/oferta-hotel-andorra,7,0.19,5.00,0.52,81800,"[14,100,14,14,14,14,14,14,14,0,0,0]",2025-12-07,"Image pack, Video, Image, Ads bottom, Hotels Pack, Related searches",transactional,Organic
caldea andorre,1,1,110,14,1.01,https://www.caldea.com/en/history,7,0.19,7.00,0.03,259000,"[35,22,35,43,100,2,2,4,8,0,8,0]",2025-12-15,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches","informational, transactional",People also ask
spa in andorra,1,1,30,12,0.97,http://www.caldea.com/,7,0.19,6.00,0.04,21800000,"[57,100,100,42,42,14,14,14,28,57,14,71]",2026-01-06,"Local pack, Video, Image, People also ask, Related searches",commercial,Local pack
andorra spa,2,2,140,21,0.97,https://www.caldea.com/,6,0.16,5.00,0.04,20800000,"[52,100,66,100,100,52,80,80,23,33,80,100]",2026-01-02,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
spa acronym,4,4,260,22,0.00,https://www.caldea.com/blog/origin-word-spa/?lang=en,6,0.16,0.00,0,5640000,"[53,66,66,66,53,53,53,66,53,53,53,43]",2026-01-31,"Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
caldea ad,2,2,40,27,1.01,https://www.caldea.com/en/classic,5,0.13,5.00,0.03,352000,"[0,0,0,0,0,0,0,0,100,0,0,0]",2025-12-21,"Knowledge panel, Image pack, Sitelinks, Video, People also ask, Related searches","informational, transactional",Organic
what does s.p.a. mean,1,1,90,22,0.00,https://www.caldea.com/blog/origin-word-spa/?lang=en,5,0.13,0.00,0,286000000,"[43,34,34,65,0,0,0,0,0,0,53,81]",2026-01-28,"Knowledge panel, Sitelinks, Video, People also ask, Related searches, Short videos",informational,People also ask
centro caldea,3,3,320,30,1.01,https://www.caldea.com/en/history,5,0.13,5.00,0.03,249000,"[66,35,66,28,54,100,0,100,81,23,28,66]",2025-12-15,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches","informational, transactional",People also ask
abbreviation of spa,1,1,140,26,0.00,https://www.caldea.com/blog/origin-word-spa/?lang=en,5,0.13,0.00,0,7630000,"[42,66,42,80,33,42,100,80,66,33,66,80]",2026-01-03,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",informational,People also ask
caldea andorra,3,3,590,,0.57,https://www.caldea.com/,4,0.1,2.00,0.02,589000,"[100,48,88,72,72,32,59,48,39,88,48,59]",2026-01-09,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches, Short videos",navigational,Organic
centro caldea,3,3,320,30,1.01,https://www.caldea.com/en/faq-caldea,4,0.1,4.00,0.03,249000,"[66,35,66,28,54,100,0,100,81,23,28,66]",2025-12-15,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches","informational, transactional",People also ask
abbreviation spa,1,1,140,26,0.00,https://www.caldea.com/blog/origin-word-spa/?lang=en,4,0.1,0.00,0,6810000,"[43,28,43,28,53,21,28,81,53,43,21,43]",2025-12-16,"Sitelinks, Video, Related searches, AI overview",informational,AI overview
abbreviation spa,5,5,140,26,0.00,https://www.caldea.com/blog/origin-word-spa/?lang=en,4,0.1,0.00,0,6810000,"[43,28,43,28,53,21,28,81,53,43,21,43]",2025-12-16,"Sitelinks, Video, Related searches, AI overview",informational,Organic
meaning for spa,12,12,1000,42,0.00,https://www.caldea.com/blog/origin-word-spa/?lang=en,4,0.1,0.00,0,137000000,"[3,5,7,8,5,2,100,66,66,1,24,52]",2025-12-16,"Knowledge panel, Sitelinks, Video, Related searches, Short videos",informational,Organic
spa abbreviation,1,1,110,,0.00,https://www.caldea.com/blog/origin-word-spa/?lang=en,4,0.1,0.00,0,6520000,"[34,34,34,42,34,42,42,53,42,53,42,42]",2026-01-19,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask
meaning of s p a,12,12,1000,40,0.00,https://www.caldea.com/blog/origin-word-spa/?lang=en,3,0.08,0.00,0,360000000,"[52,52,52,52,100,0,0,0,0,0,0,52]",2025-12-24,"Sitelinks, Video, Related searches, Short videos, AI overview",informational,Organic
caldea andorra,5,5,590,,0.57,https://www.caldea.com/en/,3,0.08,1.00,0.02,589000,"[100,48,88,72,72,32,59,48,39,88,48,59]",2026-01-09,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches, Short videos",navigational,Short videos
hoteles andorra con caldea,2,2,30,5,0.79,https://www.caldea.com/ofertas-caldea-hotel,3,0.08,2.00,0.52,81800,"[14,100,14,14,14,14,14,14,14,0,0,0]",2025-12-07,"Image pack, Video, Image, Ads bottom, Hotels Pack, Related searches",transactional,Organic
caldea andorre,2,2,110,14,1.01,https://www.caldea.com/en/classic,3,0.08,3.00,0.03,259000,"[35,22,35,43,100,2,2,4,8,0,8,0]",2025-12-15,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches","informational, transactional",Organic
things to do andorra,1,1,50,29,0.16,https://www.caldea.com/en/,3,0.08,0.00,0.08,96800000,"[100,6,2,4,2,2,6,4,2,2,2,2]",2026-01-20,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,AI overview
what does s.p.a. stand for,6,6,170,31,0.00,https://www.caldea.com/blog/origin-word-spa/?lang=en,3,0.08,0.00,0,212000000,"[81,81,15,11,1,1,0,0,0,0,81,81]",2026-01-16,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",informational,Organic
abbreviation of spa,4,4,140,26,0.00,https://www.caldea.com/blog/origin-word-spa/?lang=en,3,0.08,0.00,0,7630000,"[42,66,42,80,33,42,100,80,66,33,66,80]",2026-01-03,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",informational,Organic
what is spa,11,11,1900,41,0.47,https://www.caldea.com/blog/origin-word-spa/?lang=en,2,0.05,0.00,0.01,935000000,"[43,36,43,54,36,36,54,43,65,43,29,43]",2026-02-04,"Knowledge panel, Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos",informational,Organic
letter spa,1,1,50,18,0.00,https://www.caldea.com/blog/origin-word-spa/?lang=en,2,0.05,0.00,0.15,78900000,"[78,78,14,14,50,50,50,50,35,14,14,14]",2025-12-26,"Image pack, Video, People also ask, Related searches, AI overview",informational,People also ask
acronym spa,3,3,40,16,0.00,https://www.caldea.com/blog/origin-word-spa/?lang=en,2,0.05,0.00,0,4920000,"[20,80,60,80,100,80,80,80,100,80,100,100]",2025-12-25,"Sitelinks, Video, Image, Related searches, AI overview",informational,Organic
caldea andorra,2,2,590,,0.57,https://www.caldea.com/en/faq-caldea,2,0.05,1.00,0.02,589000,"[100,48,88,72,72,32,59,48,39,88,48,59]",2026-01-09,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches, Short videos",navigational,People also ask
caldea,4,4,720,35,0.46,https://www.caldea.com/en/faq-caldea,2,0.05,0.00,0.02,1030000,"[72,88,88,48,48,72,48,59,59,72,72,59]",2026-01-13,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,People also ask
centro caldea,9,9,320,30,1.01,https://www.caldea.com/en/entra-treatment-hotel-listing,2,0.05,2.00,0.03,249000,"[66,35,66,28,54,100,0,100,81,23,28,66]",2025-12-15,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches","informational, transactional",Organic
andorre caldea,4,4,90,14,0.57,https://www.caldea.com/en/what-is-caldea,2,0.05,1.00,0.02,249000,"[0,0,1,0,0,1,100,81,0,0,0,0]",2025-12-30,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches","informational, transactional",Organic
spa mean,1,1,70,,0.00,https://www.caldea.com/blog/origin-word-spa/?lang=en,2,0.05,0.00,0,321000000,"[7,29,0,0,0,0,0,1,0,67,1,2]",2026-01-16,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",informational,People also ask
aguas sulfurosas,24,24,2900,21,0.92,https://www.caldea.com/aguas-termales,2,0.05,1.00,0.01,8310000,"[23,3,54,81,81,35,54,0,3,19,29,54]",2026-02-01,"Knowledge panel, Image pack, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
aguas termales,30,30,3600,30,0.92,https://www.caldea.com/aguas-termales,2,0.05,1.00,0.01,12700000,"[81,36,54,66,54,66,43,66,81,54,43,54]",2026-01-29,"Knowledge panel, Video, Image, Video Carousel, People also ask, Related searches, Things to know",informational,Organic
s.p.a means,14,14,590,35,0.00,https://www.caldea.com/blog/origin-word-spa/?lang=en,2,0.05,0.00,0,471000000,"[20,10,36,5,44,100,0,0,0,0,0,0]",2025-12-16,"Knowledge panel, Sitelinks, Video, Related searches",informational,Organic
spa locale,1,1,70,10,0.00,https://www.caldea.com/blog/origin-word-spa/?lang=en,2,0.05,0.00,0,49000000,"[52,33,33,23,23,33,23,33,33,33,23,23]",2026-01-26,"People also ask, Related searches, AI overview",informational,AI overview
centro termoludico andorra,1,1,320,25,1.01,https://www.caldea.com/faq-caldea,2,0.05,2.00,0.03,26800,"[66,35,66,28,54,100,23,100,81,23,28,66]",2025-12-15,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,People also ask
spa andorre caldea,10,10,90,42,0.57,http://www.caldea.com/,2,0.05,1.00,0.02,207000,"[0,0,0,0,0,0,100,81,0,0,0,0]",2025-12-23,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches","informational, transactional",Knowledge panel
spas andorra,1,1,40,15,1.02,https://www.caldea.com/en/,2,0.05,2.00,0.04,1970000,"[0,100,0,100,0,4,0,0,4,4,0,4]",2025-12-21,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Organic
spa caldea andorre,2,2,90,35,1.01,https://www.caldea.com/en/history,2,0.05,2.00,0.03,214000,"[0,0,0,0,0,0,0,100,81,0,0,0]",2025-12-18,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches","informational, transactional",People also ask
andorra la caldea,10,10,90,20,0.57,http://www.caldea.com/,2,0.05,1.00,0.02,676000,"[0,0,0,0,0,0,100,81,0,0,0,0]",2026-01-13,"Knowledge panel, Video, Image, Video Carousel, People also ask, Related searches",informational,Knowledge panel
caldea spa,5,5,590,44,1.01,https://www.caldea.com/en/faq-caldea,2,0.05,2.00,0.03,465000,"[72,59,59,100,59,72,39,48,48,72,72,59]",2025-12-17,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,People also ask
etymology of spa,1,1,70,,0.00,https://www.caldea.com/blog/origin-word-spa/?lang=en,2,0.05,0.00,0,1350000,"[77,100,55,55,77,77,77,77,77,77,77,55]",2026-01-27,"Instant answer, Video, People also ask, Related searches, AI overview",informational,People also ask
caldea andorre,4,4,110,14,1.01,https://www.caldea.com/en/what-is-caldea,2,0.05,2.00,0.03,259000,"[35,22,35,43,100,2,2,4,8,0,8,0]",2025-12-15,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches","informational, transactional",Organic
caldea andorre,6,6,110,14,1.01,https://www.caldea.com/en/offerslisting,2,0.05,2.00,0.03,259000,"[35,22,35,43,100,2,2,4,8,0,8,0]",2025-12-15,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches","informational, transactional",Organic
spa andorre,3,3,40,12,0.00,https://www.caldea.com/en/,1,0.02,0.00,0.33,24500000,"[80,80,60,100,100,100,80,100,40,40,40,40]",2025-12-24,"Local pack, Video, Image, People also ask, Related searches",commercial,Organic
s p a,2,2,70,59,1.15,https://www.caldea.com/blog/origin-word-spa/?lang=en,1,0.02,1.00,0.19,1810000000,"[2,8,13,8,0,0,0,0,0,0,0,0]",2026-01-06,"Video, Image, Video Carousel, People also ask, Related searches, See results about, AI overview","informational, transactional",People also ask
centro termolúdico de caldea,1,1,260,27,1.01,https://www.caldea.com/en/faq-caldea,1,0.02,1.00,0.03,23100,"[66,35,66,28,54,100,23,100,23,8,11,66]",2025-12-15,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,People also ask
inúu,2,2,40,9,0.00,https://www.caldea.com/blog/spa-andorra-contrasts/?lang=en,1,0.02,0.00,0.33,30900,"[18,18,18,18,18,18,18,18,100,18,100,18]",2026-01-01,"Knowledge panel, Image pack, Video, People also ask, Related searches",informational,People also ask
inúu,2,2,40,9,0.00,https://www.caldea.com/en/faq-caldea,1,0.02,0.00,0.33,30900,"[18,18,18,18,18,18,18,18,100,18,100,18]",2026-01-01,"Knowledge panel, Image pack, Video, People also ask, Related searches",informational,People also ask
inúu,3,3,40,9,0.00,https://www.caldea.com/en/premium,1,0.02,0.00,0.33,30900,"[18,18,18,18,18,18,18,18,100,18,100,18]",2026-01-01,"Knowledge panel, Image pack, Video, People also ask, Related searches",informational,Organic
spa que quiere decir,3,3,40,22,0.00,https://www.caldea.com/blog/origen-palabra-spa/,1,0.02,0.00,0,149000000,"[11,0,52,0,11,52,0,11,100,11,0,0]",2026-01-25,"Knowledge panel, Image pack, Video, People also ask, Related searches, Short videos",informational,Organic
caldea balneario,2,2,50,15,0.57,https://www.caldea.com/,1,0.02,0.00,0.02,154000,"[0,100,2,2,0,0,29,4,0,0,0,0]",2025-12-31,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches","informational, transactional",Organic
caldea balneario,10,10,50,15,0.57,http://www.caldea.com/,1,0.02,0.00,0.02,154000,"[0,100,2,2,0,0,29,4,0,0,0,0]",2025-12-31,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches","informational, transactional",Knowledge panel
caldea spa andorra,6,6,480,35,0.57,https://www.caldea.com/en/faq-caldea,1,0.02,0.00,0.02,326000,"[44,36,36,54,100,54,44,36,44,81,12,44]",2025-12-26,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,People also ask
what does mean spa,9,9,170,30,0.00,https://www.caldea.com/blog/origin-word-spa/?lang=en,1,0.02,0.00,0,266000000,"[53,34,53,43,53,21,34,65,100,43,34,65]",2025-12-15,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",informational,Organic
spa etymology,6,6,90,21,0.00,https://www.caldea.com/blog/origin-word-spa/?lang=en,1,0.02,0.00,0,1440000,"[19,34,34,19,26,26,34,26,42,53,26,34]",2026-01-12,"Instant answer, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
meaning of s.p.a,1,1,40,38,0.00,https://www.caldea.com/blog/origin-word-spa/?lang=en,1,0.02,0.00,0,375000000,"[80,80,0,3,3,0,0,0,0,0,0,0]",2026-01-27,"Video, People also ask, Related searches, Short videos, AI overview",informational,People also ask
spa net,4,4,110,3,0.99,https://www.caldea.com/blog/origin-word-spa/?lang=en,1,0.02,0.00,0.56,807000000,"[19,19,26,42,26,34,42,34,34,42,65,100]",2026-01-31,"Sitelinks, Video, Image, People also ask, Popular products, Related searches",transactional,People also ask
spa caldea,2,2,40,37,0.57,https://www.caldea.com/,1,0.02,0.00,0.02,428000,"[43,12,21,15,28,0,0,0,0,0,0,0]",2026-01-04,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
s p a meaning,8,8,70,33,0.00,https://www.caldea.com/blog/origin-word-spa/?lang=en,1,0.02,0.00,0,501000000,"[15,15,15,15,53,100,0,0,0,0,0,0]",2025-12-18,"Knowledge panel, Image pack, Sitelinks, Video, Related searches",informational,Organic
andorre caldea,6,6,90,14,0.57,https://www.caldea.com/en/classic,1,0.02,0.00,0.02,249000,"[0,0,1,0,0,1,100,81,0,0,0,0]",2025-12-30,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches","informational, transactional",Organic
is spa singapore,1,1,70,45,0.00,https://www.caldea.com/blog/origin-word-spa/?lang=en,1,0.02,0.00,0.03,163000000,"[5,2,2,2,100,2,28,5,5,28,5,5]",2026-01-13,"Local pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview",commercial,People also ask
spa event,1,1,40,6,1.52,https://www.caldea.com/blog/origin-word-spa/?lang=en,1,0.02,1.00,0.05,464000000,"[44,33,11,55,11,22,22,33,100,77,33,33]",2025-11-29,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",informational,People also ask
benefits of regular spa treatments nitkafacts,18,18,390,0,0.00,https://www.caldea.com/blog/the-top-7-benefits-of-spa-treatments/?lang=en,1,0.02,0.00,0,5720,"[0,0,0,0,36,55,100,36,4,2,30,10]",2025-12-18,"Video, AI overview",informational,Organic
aguas termales,38,38,3600,30,0.92,https://www.caldea.com/aguas-termales,1,0.02,0.00,0.01,12700000,"[81,36,54,66,54,66,43,66,81,54,43,54]",2026-01-29,"Knowledge panel, Video, Image, Video Carousel, People also ask, Related searches, Things to know",informational,Organic
